timestamp,temperature,humidity,latitude,longitude,speed_kmph,altitude,satellites,heading,current,battery_voltage,battery_percent
1789009492.3674533,30.0,52.0,1.458864,102.149717,0.2,45.4,6,239.0,-0.95,4.13,0.0
1789009493.3832984,30.0,52.0,1.458864,102.149717,0.39,46.0,6,239.0,-1.01,4.13,0.0
1789009494.379966,30.0,52.0,1.458864,102.149717,0.83,46.7,6,239.0,-0.91,4.13,0.0
1789009495.3798342,30.0,52.0,1.458864,102.149717,0.31,47.2,7,239.0,-0.91,4.13,0.0
1789009496.366639,30.0,52.0,1.458865,102.149705,0.46,47.7,7,239.0,-0.92,4.13,0.0
1789009497.384044,30.0,52.0,1.458865,102.149705,0.87,48.0,7,239.0,-0.91,4.13,0.0
1789009498.3970153,30.0,52.0,1.458865,102.149705,0.78,48.4,7,239.0,-1.05,4.12,0.0
1789009499.3713107,30.0,52.0,1.458865,102.149705,1.31,48.6,7,239.0,-1.06,4.12,0.0
1789009500.385225,30.0,52.0,1.458865,102.149705,1.13,48.8,7,239.0,-0.93,4.13,0.0
1789009501.3798354,30.0,52.0,1.458865,102.149705,0.94,49.0,6,239.0,-0.92,4.13,0.0
1789009502.3919313,30.0,52.0,1.458865,102.149705,0.56,49.0,6,239.0,-0.94,4.13,0.0
1789009503.40936,30.0,52.0,1.458865,102.149705,0.54,49.1,6,239.0,-0.91,4.13,0.0
1789009504.388763,30.0,52.0,1.458865,102.149705,1.52,49.2,7,239.0,-0.93,4.13,0.0
1789009505.4046462,30.0,52.0,1.458865,102.149705,1.69,48.9,7,239.0,-0.94,4.13,0.0
1789009506.3995748,30.0,52.0,1.458865,102.149705,1.22,48.8,7,239.0,-0.95,4.13,0.0
1789009507.4009495,30.0,52.0,1.458865,102.149705,0.78,48.4,7,239.0,-0.95,4.13,0.0
1789009508.434151,30.0,52.0,1.458865,102.149705,1.19,48.1,7,239.0,-0.92,4.13,0.0
1789009509.4094336,30.0,52.0,1.458852,102.149705,1.76,47.9,7,239.0,-0.93,4.13,0.0
1789009510.4080317,30.0,52.0,1.458852,102.149705,1.37,47.7,7,239.0,-0.92,4.13,0.0
1789009511.4034011,30.0,52.0,1.458852,102.149705,1.31,47.9,7,239.0,-1.08,4.12,0.0
1789009512.4167805,30.0,52.0,1.458852,102.149705,0.74,47.7,7,239.0,-0.92,4.13,0.0
1789009513.4357038,30.0,52.0,1.458852,102.149705,0.41,47.3,7,239.0,-0.9,4.13,0.0
1789009514.4082928,30.0,52.0,1.458852,102.149705,0.46,46.7,7,239.0,-0.9,4.13,0.0
1789009515.421026,30.0,52.0,1.458852,102.149705,0.04,46.1,7,239.0,-0.91,4.13,0.0
1789009516.416759,30.0,52.0,1.458852,102.149705,0.52,45.7,7,239.0,-0.89,4.13,0.0
1789009517.4141927,30.0,52.0,1.458852,102.149705,0.33,45.0,7,239.0,-0.88,4.13,0.0
1789009518.4327898,30.0,52.0,1.458852,102.149705,0.28,44.5,7,239.0,-0.92,4.13,0.0
1789009519.4172087,30.0,52.0,1.458852,102.149705,1.04,44.3,7,239.0,-0.9,4.13,0.0
1789009520.431565,30.0,52.0,1.458863,102.149708,1.26,43.7,7,239.0,-0.86,4.13,0.0
1789009521.4295237,30.0,52.0,1.458863,102.149708,0.93,43.4,7,239.0,-0.96,4.13,0.0
1789009522.4210362,30.0,52.0,1.458863,102.149708,0.11,43.0,7,239.0,-0.86,4.13,0.0
1789009523.456007,30.0,52.0,1.458863,102.149708,0.35,43.0,7,239.0,-0.88,4.13,0.0
1789009524.429495,30.0,52.0,1.458863,102.149708,0.31,42.5,7,239.0,-0.89,4.13,0.0
1789009525.4439902,30.0,52.0,1.458863,102.149708,0.13,41.7,7,239.0,-0.88,4.13,0.0
1789009526.4376361,30.0,52.0,1.458863,102.149708,0.7,41.0,7,239.0,-0.9,4.13,0.0
1789009527.4534883,30.0,52.0,1.458863,102.149708,0.61,40.6,7,239.0,-0.88,4.13,0.0
1789009528.4657462,30.0,52.0,1.458871,102.149716,0.24,40.3,7,239.0,-0.94,4.13,0.0
1789009529.460108,30.0,52.0,1.458871,102.149716,0.17,40.0,7,239.0,-0.89,4.13,0.0
1789009530.4518416,30.0,52.0,1.458871,102.149716,0.28,39.9,7,239.0,-0.86,4.13,0.0
1789009531.464732,30.0,52.0,1.458871,102.149716,0.09,39.7,7,239.0,-0.91,4.13,0.0
1789009532.4589386,30.0,52.0,1.458879,102.149725,0.65,39.5,7,239.0,-0.94,4.13,0.0
1789009533.4929779,30.0,52.0,1.458879,102.149725,0.57,38.3,7,239.0,-0.9,4.13,0.0
1789009534.4691086,30.0,52.0,1.458879,102.149725,0.44,36.6,7,239.0,-0.88,4.13,0.0
1789009535.4819694,30.0,52.0,1.458879,102.149725,0.41,35.9,7,239.0,-0.9,4.13,0.0
1789009536.4779444,30.0,52.0,1.458879,102.149725,0.48,35.1,7,239.0,-0.91,4.13,0.0
1789009537.4736736,30.0,52.0,1.458879,102.149737,0.61,34.5,7,239.0,-0.9,4.13,0.0
1789009538.5087967,30.0,52.0,1.458879,102.149737,0.56,34.0,7,239.0,-0.93,4.13,0.0
1789009539.4817152,30.0,52.0,1.458879,102.149737,0.91,33.7,7,239.0,-0.92,4.13,0.0
1789009540.4772713,30.0,52.0,1.458879,102.149737,1.35,33.2,7,239.0,-0.93,4.13,0.0
1789009541.4906373,30.0,52.0,1.458879,102.149737,0.26,32.8,7,239.0,-0.92,4.13,0.0
1789009542.4849408,30.0,52.0,1.458879,102.149737,0.8,32.4,6,239.0,-0.89,4.13,0.0
1789009543.5188413,30.0,52.0,1.458879,102.149737,1.37,32.0,6,239.0,-0.92,4.13,0.0
1789009544.4950113,30.0,52.0,1.458879,102.149737,0.93,31.4,7,239.0,-0.9,4.13,0.0
1789009545.489436,30.0,52.0,1.458879,102.149737,0.07,30.9,7,239.0,-0.93,4.13,0.0
1789009546.5041206,30.0,52.0,1.458889,102.149744,0.11,30.3,7,239.0,-0.87,4.13,0.0
1789009547.4988482,30.0,52.0,1.458889,102.149744,0.37,29.6,7,239.0,-0.92,4.13,0.0
1789009548.5318954,30.0,52.0,1.458889,102.149744,0.57,29.1,7,239.0,-0.91,4.13,0.0
1789009549.5039713,30.0,52.0,1.458889,102.149744,0.31,28.5,7,239.0,-0.89,4.13,0.0
1789009550.5168915,30.0,52.0,1.458889,102.149744,0.11,27.6,7,239.0,-0.86,4.13,0.0
1789009551.5096273,30.0,52.0,1.458889,102.149744,0.31,27.1,7,239.0,-0.87,4.13,0.0
1789009552.5067148,30.0,52.0,1.458898,102.14975,0.35,27.4,7,239.0,-0.89,4.13,0.0
1789009553.54227,30.0,52.0,1.458898,102.14975,0.19,26.7,7,239.0,-0.9,4.13,0.0
1789009554.5152986,30.0,52.0,1.458898,102.14975,0.59,26.2,7,239.0,-0.88,4.13,0.0
1789009555.5302017,30.0,52.0,1.458898,102.14975,0.65,25.6,7,239.0,-0.9,4.13,0.0
1789009556.5222442,30.0,52.0,1.458912,102.149751,0.37,25.1,7,239.0,-0.91,4.13,0.0
1789009557.5152605,30.0,52.0,1.458912,102.149751,0.41,24.5,7,239.0,-0.94,4.13,0.0
1789009558.5481381,30.0,52.0,1.458912,102.149751,0.87,24.0,7,239.0,-0.96,4.13,0.0
1789009559.5238528,30.0,52.0,1.458912,102.149751,1.26,23.5,7,239.0,-0.88,4.13,0.0
1789009560.5377605,30.0,52.0,1.458912,102.149751,0.85,23.0,7,239.0,-0.88,4.13,0.0
1789009561.532715,30.0,52.0,1.458922,102.149753,0.83,22.4,6,239.0,-0.87,4.13,0.0
1789009562.5267315,30.0,52.0,1.458922,102.149753,0.91,21.8,6,239.0,-0.87,4.13,0.0
1789009563.5619295,30.0,52.0,1.458922,102.149753,0.69,21.3,6,239.0,-0.96,4.13,0.0
1789009564.5346878,30.0,52.0,1.458922,102.149753,0.56,20.7,6,239.0,-0.9,4.13,0.0
1789009565.5302908,30.0,52.0,1.458922,102.149753,0.31,20.0,6,239.0,-0.89,4.13,0.0
1789009566.5454364,30.0,52.0,1.458933,102.149754,0.13,19.4,6,239.0,-0.86,4.13,0.0
1789009567.5391066,30.0,52.0,1.458933,102.149754,0.39,18.8,6,239.0,-0.91,4.13,0.0
1789009568.5737026,30.0,52.0,1.458933,102.149754,0.56,18.4,6,239.0,-1.02,4.12,0.0
1789009569.5445185,30.0,52.0,1.458933,102.149754,0.2,17.9,6,239.0,-0.87,4.13,0.0
1789009570.561273,30.0,52.0,1.458919,102.149758,0.28,17.5,6,239.0,-0.91,4.13,0.0
1789009571.5530562,30.0,52.0,1.458919,102.149758,0.15,17.0,7,239.0,-0.93,4.13,0.0
1789009572.5459719,30.0,52.0,1.458908,102.149761,0.07,16.7,7,239.0,-0.89,4.13,0.0
1789009573.580041,30.0,52.0,1.458908,102.149761,0.07,16.4,7,239.0,-0.92,4.13,0.0
1789009574.5517192,30.0,52.0,1.458908,102.149761,0.13,16.1,7,239.0,-0.9,4.13,0.0
1789009575.5665543,30.0,52.0,1.458908,102.149761,0.09,15.9,7,239.0,-0.88,4.13,0.0
1789009576.5612586,30.0,52.0,1.458896,102.149763,0.35,15.6,7,239.0,-0.89,4.13,0.0
1789009577.555885,30.0,52.0,1.458896,102.149763,1.15,15.4,7,239.0,-0.9,4.13,0.0
1789009578.5990524,30.0,52.0,1.458884,102.149764,0.43,15.3,7,239.0,-0.9,4.13,0.0
1789009579.5773118,30.0,52.0,1.458884,102.149764,0.15,15.0,7,239.0,-0.92,4.13,0.0
1789009580.5733423,30.0,52.0,1.45887,102.149766,0.17,14.6,7,239.0,-0.91,4.13,0.0
1789009581.571518,30.0,52.0,1.45887,102.149766,0.13,14.3,7,239.0,-0.94,4.13,0.0
